address_id,address,district,city_id,postal_code,phone,last_update
194,*********************,******,513,*****,35246*****,2006-02-15 00:45:30.000000 +0000
193,******************,*******,383,****,24764*****,2006-02-15 00:45:30.000000 +0000
192,********************,******,62,*****,65075*****,2006-02-15 00:45:30.000000 +0000
191,******************,****,506,*****,85586*****,2006-02-15 00:45:30.000000 +0000
190,*********,************,195,*****,76017*****,2006-02-15 00:45:30.000000 +0000
189,********************,********************,467,*****,95148*****,2006-02-15 00:45:30.000000 +0000
188,******************,*************,438,*****,30259*****,2006-02-15 00:45:30.000000 +0000
187,************************,****,317,*****,94746*****,2006-02-15 00:45:30.000000 +0000
186,********************,**********,126,****,66222*****,2006-02-15 00:45:30.000000 +0000
185,**********************,*********,333,*****,72136*****,2006-02-15 00:45:30.000000 +0000
184,***********************,*********,405,*****,10415*****,2006-02-15 00:45:30.000000 +0000
183,********************,*****,270,*****,86609*****,2006-02-15 00:45:30.000000 +0000
182,*********************,********,456,*****,39106*****,2006-02-15 00:45:30.000000 +0000
181,********************,**********,330,*****,95368*****,2006-02-15 00:45:30.000000 +0000
180,*********************,******,483,*****,50613*****,2006-02-15 00:45:30.000000 +0000
179,*******************,******,18,****,23025*****,2006-02-15 00:45:30.000000 +0000
178,*********************,*******,373,*****,48265*****,2006-02-15 00:45:30.000000 +0000
177,*******************,**********,186,****,49300*****,2006-02-15 00:45:30.000000 +0000
176,*****************,******,58,*****,73478*****,2006-02-15 00:45:30.000000 +0000
175,******************,*****,223,*****,27578*****,2006-02-15 00:45:30.000000 +0000
174,***************,*********,550,*****,26454*****,2006-02-15 00:45:30.000000 +0000
173,********************,*******,407,*****,16180*****,2006-02-15 00:45:30.000000 +0000
172,**************,*****,240,*****,20170*****,2006-02-15 00:45:30.000000 +0000
171,******************,***********,107,*****,18236*****,2006-02-15 00:45:30.000000 +0000
170,**********************************,********,304,*****,84380*****,2006-02-15 00:45:30.000000 +0000
169,********************,********,199,*****,93550*****,2006-02-15 00:45:30.000000 +0000
168,*****************,*****,529,****,69715*****,2006-02-15 00:45:30.000000 +0000
167,***********************,****,253,*****,81941*****,2006-02-15 00:45:30.000000 +0000
166,*****************,****************,297,*****,16847*****,2006-02-15 00:45:30.000000 +0000
165,*****************,********,533,*****,17716*****,2006-02-15 00:45:30.000000 +0000
164,**********************,*******,310,*****,14998*****,2006-02-15 00:45:30.000000 +0000
163,******************,*************,307,*****,93105*****,2006-02-15 00:45:30.000000 +0000
162,***************,**************,187,*****,17011*****,2006-02-15 00:45:30.000000 +0000
161,***************************,************,420,*****,36889*****,2006-02-15 00:45:30.000000 +0000
160,*****************,************,381,*****,88953*****,2006-02-15 00:45:30.000000 +0000
159,******************,****,72,*****,90425*****,2006-02-15 00:45:30.000000 +0000
158,******************,******,590,*****,49940*****,2006-02-15 00:45:30.000000 +0000
157,***************,************,232,*****,71920*****,2006-02-15 00:45:30.000000 +0000
156,*****************,*****,354,*****,76137*****,2006-02-15 00:45:30.000000 +0000
155,*********************,********,291,*****,18944*****,2006-02-15 00:45:30.000000 +0000
154,*********************,******************,202,*****,63231*****,2006-02-15 00:45:30.000000 +0000
153,****************,*************,94,*****,88589*****,2006-02-15 00:45:30.000000 +0000
152,**************,***********,442,*****,35461*****,2006-02-15 00:45:30.000000 +0000
151,********************,*******,555,*****,59781*****,2006-02-15 00:45:30.000000 +0000
150,*****************,********,499,*****,20684*****,2006-02-15 00:45:30.000000 +0000
149,**************,*******,491,****,91803*****,2006-02-15 00:45:30.000000 +0000
148,*******************,*****,340,*****,56366*****,2006-02-15 00:45:30.000000 +0000
147,*********************,*****,266,*****,92326*****,2006-02-15 00:45:30.000000 +0000
146,*********************,********,149,*****,58117*****,2006-02-15 00:45:30.000000 +0000
145,***************,*********,172,*****,58185*****,2006-02-15 00:45:30.000000 +0000
144,**********************,*********,123,*****,90999*****,2006-02-15 00:45:30.000000 +0000
143,********************,*****,542,*****,33173*****,2006-02-15 00:45:30.000000 +0000
142,*****************,**************,207,*****,46806*****,2006-02-15 00:45:30.000000 +0000
141,*****************,**********,29,*****,96336*****,2006-02-15 00:45:30.000000 +0000
140,*****************,*********,211,*****,14649*****,2006-02-15 00:45:30.000000 +0000
139,***********************,***********,417,****,90921*****,2006-02-15 00:45:30.000000 +0000
138,*********************,************,421,****,23712*****,2006-02-15 00:45:30.000000 +0000
137,*******************,********************,541,*****,32194*****,2006-02-15 00:45:30.000000 +0000
136,**************,**********,87,*****,70716*****,2006-02-15 00:45:30.000000 +0000
135,************************,*************,345,*****,25226*****,2006-02-15 00:45:30.000000 +0000
134,**************,****,190,*****,93544*****,2006-02-15 00:45:30.000000 +0000
133,*****************,********,302,*****,50949*****,2006-02-15 00:45:30.000000 +0000
132,************************,*******,236,****,97304*****,2006-02-15 00:45:30.000000 +0000
131,*****************,********,484,****,23742*****,2006-02-15 00:45:30.000000 +0000
130,******************,********,410,*****,58283*****,2006-02-15 00:45:30.000000 +0000
129,*****************,*******,85,*****,49021*****,2006-02-15 00:45:30.000000 +0000
128,****************,******,281,*****,61493*****,2006-02-15 00:45:30.000000 +0000
127,*****************,*************,566,****,67797*****,2006-02-15 00:45:30.000000 +0000
126,****************,****,305,*****,93722*****,2006-02-15 00:45:30.000000 +0000
125,****************,*************,164,*****,66599*****,2006-02-15 00:45:30.000000 +0000
124,**************,*********,147,*****,76534*****,2006-02-15 00:45:30.000000 +0000
123,********************************,************,476,*****,78765*****,2006-02-15 00:45:30.000000 +0000
122,**************,*****,185,*****,90902*****,2006-02-15 00:45:30.000000 +0000
121,********************,*******,176,*****,57781*****,2006-02-15 00:45:30.000000 +0000
120,****************,************,403,*****,38675*****,2006-02-15 00:45:30.000000 +0000
119,************************,*****,365,*****,86754*****,2006-02-15 00:45:30.000000 +0000
118,********************,*******************,148,*****,88663*****,2006-02-15 00:45:30.000000 +0000
117,*****************************,*****,132,*****,35817*****,2006-02-15 00:45:30.000000 +0000
116,*******************,**********,292,*****,82437*****,2006-02-15 00:45:30.000000 +0000
115,********************,****************,102,*****,27223*****,2006-02-15 00:45:30.000000 +0000
114,****************,*****,159,*****,37980*****,2006-02-15 00:45:30.000000 +0000
113,*************,**********,273,*****,62225*****,2006-02-15 00:45:30.000000 +0000
112,*********************,*****,213,*****,37149*****,2006-02-15 00:45:30.000000 +0000
111,******************,************,334,****,33083*****,2006-02-15 00:45:30.000000 +0000
110,**************************************,*******,225,*****,54700*****,2006-02-15 00:45:30.000000 +0000
109,**************************,********,173,*****,96388*****,2006-02-15 00:45:30.000000 +0000
108,******************,******************,543,*****,44921*****,2006-02-15 00:45:30.000000 +0000
107,***************,************,220,****,48429*****,2006-02-15 00:45:30.000000 +0000
106,***************,********,34,*****,70993*****,2006-02-15 00:45:30.000000 +0000
105,*********************,****,2,*****,19656*****,2006-02-15 00:45:30.000000 +0000
104,*******************,*******,238,*****,94257*****,2006-02-15 00:45:30.000000 +0000
103,********************,************,268,*****,33333*****,2006-02-15 00:45:30.000000 +0000
102,******************,*********,12,*****,41290*****,2006-02-15 00:45:30.000000 +0000
101,****************,****,534,*****,81724*****,2006-02-15 00:45:30.000000 +0000
100,****************,*******,41,*****,61710*****,2006-02-15 00:45:30.000000 +0000
99,*****************,******,399,*****,47647*****,2006-02-15 00:45:30.000000 +0000
98,*****************,******,82,*****,83543*****,2006-02-15 00:45:30.000000 +0000
97,**********************,**************,592,*****,27559*****,2006-02-15 00:45:30.000000 +0000
96,***********************,****,183,*****,13298*****,2006-02-15 00:45:30.000000 +0000
95,*******************,****************,53,*****,34567*****,2006-02-15 00:45:30.000000 +0000
94,*********************,*********,332,*****,99156*****,2006-02-15 00:45:30.000000 +0000
93,*******************,************,289,*****,84622*****,2006-02-15 00:45:30.000000 +0000
92,********************,*****,113,*****,97898*****,2006-02-15 00:45:30.000000 +0000
91,**********************,*****,480,*****,19812*****,2006-02-15 00:45:30.000000 +0000
90,*****************,********,489,*****,13511*****,2006-02-15 00:45:30.000000 +0000
89,*********************,*******,88,*****,72099*****,2006-02-15 00:45:30.000000 +0000
88,*******************************,******,40,*****,48417*****,2006-02-15 00:45:30.000000 +0000
87,********************,*******,497,*****,80071*****,2006-02-15 00:45:30.000000 +0000
86,***********************,****,479,****,82197*****,2006-02-15 00:45:30.000000 +0000
85,******************,*********,319,*****,22366*****,2006-02-15 00:45:30.000000 +0000
84,****************,**********,217,*****,70145*****,2006-02-15 00:45:30.000000 +0000
83,************,********,256,****,18581*****,2006-02-15 00:45:30.000000 +0000
82,*****************,*************,425,*****,87575*****,2006-02-15 00:45:30.000000 +0000
81,*************,********,30,****,91871*****,2006-02-15 00:45:30.000000 +0000
80,****************,********,402,*****,89631*****,2006-02-15 00:45:30.000000 +0000
79,****************,********,108,*****,25116*****,2006-02-15 00:45:30.000000 +0000
78,************************,********,431,*****,24183*****,2006-02-15 00:45:30.000000 +0000
77,*****************************,******,114,*****,42745*****,2006-02-15 00:45:30.000000 +0000
76,******************************,********************,517,*****,25580*****,2006-02-15 00:45:30.000000 +0000
75,*******************,***************,61,*****,56501*****,2006-02-15 00:45:30.000000 +0000
74,***********************,*****,13,****,40773*****,2006-02-15 00:45:30.000000 +0000
73,***********************,*****,63,*****,10713*****,2006-02-15 00:45:30.000000 +0000
72,******************,**************,475,*****,99021*****,2006-02-15 00:45:30.000000 +0000
71,*****************,*****,579,****,94723*****,2006-02-15 00:45:30.000000 +0000
70,******************,*******,321,*****,66344*****,2006-02-15 00:45:30.000000 +0000
69,***************,*******,105,*****,40998*****,2006-02-15 00:45:30.000000 +0000
68,******************,*******,139,*****,33348*****,2006-02-15 00:45:30.000000 +0000
67,**************,********,306,*****,49100*****,2006-02-15 00:45:30.000000 +0000
66,*********************,********,441,*****,91409*****,2006-02-15 00:45:30.000000 +0000
65,***************,***********,56,*****,13952*****,2006-02-15 00:45:30.000000 +0000
64,**************,*********,231,*****,25076*****,2006-02-15 00:45:30.000000 +0000
63,*******************,*********,350,*****,80002*****,2006-02-15 00:45:30.000000 +0000
62,*******************,*******,282,*****,21286*****,2006-02-15 00:45:30.000000 +0000
61,****************,*****,560,*****,88931*****,2006-02-15 00:45:30.000000 +0000
60,**********************,******,397,*****,34748*****,2006-02-15 00:45:30.000000 +0000
59,*********************************,*******,49,*****,49935*****,2006-02-15 00:45:30.000000 +0000
58,*********************************,*********,227,*****,92081*****,2006-02-15 00:45:30.000000 +0000
57,******************,*****,355,*****,69776*****,2006-02-15 00:45:30.000000 +0000
56,********************,*******,1,****,68042*****,2006-02-15 00:45:30.000000 +0000
55,**********************,**********,171,*****,17182*****,2006-02-15 00:45:30.000000 +0000
